zip,Y,X,STATE_ZIP,REGION_ZIP,
1615,42.270221,-71.809332,MA,Northeast,
1653,42.292703,-71.779043,MA,Northeast,
1654,42.26901,-71.809164,MA,Northeast,
1655,42.276871,-71.761225,MA,Northeast,
1701,42.315117,-71.43412,MA,Northeast,
1702,42.272053,-71.424769,MA,Northeast,
1703,42.323005,-71.441791,MA,Northeast,
1704,42.318232,-71.442658,MA,Northeast,
1705,42.32025,-71.439495,MA,Northeast,
1718,42.517046,-71.412305,MA,Northeast,
1719,42.484999,-71.518519,MA,Northeast,
1720,42.477355,-71.446686,MA,Northeast,
1721,42.253129,-71.460756,MA,Northeast,
1730,42.493394,-71.278531,MA,Northeast,
1731,42.453933,-71.278811,MA,Northeast,
1740,42.436503,-71.608599,MA,Northeast,
1741,42.530569,-71.348298,MA,Northeast,
1742,42.456444,-71.370954,MA,Northeast,
1745,42.279788,-71.51812,MA,Northeast,
1746,42.198796,-71.435066,MA,Northeast,
1747,42.128675,-71.536023,MA,Northeast,
1748,42.217945,-71.533938,MA,Northeast,
1749,42.388756,-71.557437,MA,Northeast,
1752,42.349703,-71.546947,MA,Northeast,
1754,42.430993,-71.451177,MA,Northeast,
1756,42.097875,-71.549061,MA,Northeast,
1757,42.149786,-71.522396,MA,Northeast,
1760,42.287156,-71.352308,MA,Northeast,
1770,42.232964,-71.381395,MA,Northeast,
1772,42.295044,-71.532273,MA,Northeast,
1773,42.423884,-71.314205,MA,Northeast,
1775,42.423402,-71.514638,MA,Northeast,
1776,42.382955,-71.427696,MA,Northeast,
1778,42.345323,-71.360897,MA,Northeast,
1784,42.232334,-71.559628,MA,Northeast,
1801,42.484238,-71.15743,MA,Northeast,
1803,42.508545,-71.201304,MA,Northeast,
1805,42.506346,-71.198244,MA,Northeast,
1806,42.508117,-71.129353,MA,Northeast,
1807,42.507987,-71.126572,MA,Northeast,
1808,42.506526,-71.123072,MA,Northeast,
1810,42.648787,-71.162026,MA,Northeast,
1812,42.648594,-71.182543,MA,Northeast,
1813,42.508236,-71.123401,MA,Northeast,
1815,42.505881,-71.127147,MA,Northeast,
1821,42.549001,-71.247667,MA,Northeast,
1822,42.541274,-71.262879,MA,Northeast,
1824,42.594635,-71.353461,MA,Northeast,
1826,42.676829,-71.314567,MA,Northeast,
1827,42.669019,-71.496025,MA,Northeast,
1830,42.781433,-71.084197,MA,Northeast,
1831,42.78576,-71.084665,MA,Northeast,
1832,42.781791,-71.117351,MA,Northeast,
1833,42.72786,-70.989048,MA,Northeast,
1834,42.755514,-71.029608,MA,Northeast,
1835,42.754563,-71.087282,MA,Northeast,
1840,42.710311,-71.16402,MA,Northeast,
1841,42.711749,-71.16384,MA,Northeast,
1842,42.705479,-71.159968,MA,Northeast,
1843,42.692019,-71.164643,MA,Northeast,
1844,42.728753,-71.180274,MA,Northeast,
1845,42.686182,-71.105718,MA,Northeast,
1850,42.654952,-71.306891,MA,Northeast,
1851,42.631561,-71.333924,MA,Northeast,
1852,42.634512,-71.296816,MA,Northeast,
1853,42.658587,-71.305216,MA,Northeast,
1854,42.647505,-71.336201,MA,Northeast,
1860,42.836632,-71.006424,MA,Northeast,
1862,42.574152,-71.283855,MA,Northeast,
1863,42.63329,-71.384253,MA,Northeast,
1864,42.578246,-71.093981,MA,Northeast,
1865,42.534713,-71.269156,MA,Northeast,
1866,42.525394,-71.227935,MA,Northeast,
1867,42.529523,-71.108868,MA,Northeast,
1876,42.599815,-71.222861,MA,Northeast,
1879,42.673414,-71.416749,MA,Northeast,
1880,42.502111,-71.069674,MA,Northeast,
1885,42.709481,-71.058483,MA,Northeast,
1886,42.589321,-71.437474,MA,Northeast,
1887,42.55977,-71.169957,MA,Northeast,
1888,42.486156,-71.158082,MA,Northeast,
1889,42.572012,-71.111231,MA,Northeast,
1890,42.452923,-71.146003,MA,Northeast,
1899,42.650375,-71.184561,MA,Northeast,
1901,42.463486,-70.943394,MA,Northeast,
1902,42.472369,-70.941341,MA,Northeast,
1903,42.466185,-70.949729,MA,Northeast,
1904,42.48896,-70.963687,MA,Northeast,
1905,42.464742,-70.973863,MA,Northeast,
1906,42.459776,-71.009684,MA,Northeast,
1907,42.472258,-70.908157,MA,Northeast,
1908,42.426338,-70.924198,MA,Northeast,
1910,42.473328,-70.961315,MA,Northeast,
1913,42.85592,-70.93645,MA,Northeast,
1915,42.55897,-70.870966,MA,Northeast,
1921,42.674498,-71.003708,MA,Northeast,
1922,42.755852,-70.931083,MA,Northeast,
1923,42.570577,-70.944262,MA,Northeast,
1929,42.630853,-70.783172,MA,Northeast,
1930,42.62341,-70.674449,MA,Northeast,
1931,42.630304,-70.681613,MA,Northeast,
1936,42.637922,-70.859398,MA,Northeast,
1937,42.590815,-70.97707,MA,Northeast,
1938,42.682211,-70.846774,MA,Northeast,
1940,42.53609,-71.026506,MA,Northeast,
1944,42.580512,-70.767075,MA,Northeast,
1945,42.49703,-70.866105,MA,Northeast,
1949,42.596262,-71.015245,MA,Northeast,
1950,42.811261,-70.877264,MA,Northeast,
